www.google.com;2a00:1450:400d:80d::2004;6;Success
www.youtube.com;2a00:1450:400d:806::200e;5;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;39;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;3;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;38;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;4;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;38;Success
TOO SLOW RESPOND
www.google.com;2a00:1450:400d:80d::2004;36;Success
TOO SLOW RESPOND
www.youtube.com;2a00:1450:400d:806::200e;43;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;61;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;3;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;39;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;17;Success
www.twitter.com;104.244.42.129;39;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;4;Success
www.twitter.com;104.244.42.129;39;Success
www.google.com;2a00:1450:400d:80d::2004;4;Success
www.youtube.com;2a00:1450:400d:806::200e;3;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;43;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;3;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;112;Success
www.google.com;2a00:1450:400d:80d::2004;6;Success
www.youtube.com;2a00:1450:400d:806::200e;4;Success
TOO SLOW RESPOND
www.twitter.com;104.244.42.129;65;Success
www.google.com;2a00:1450:400d:80d::2004;6;Success
www.youtube.com;2a00:1450:400d:806::200e;4;Success
www.twitter.com;104.244.42.129;38;Success
www.google.com;2a00:1450:400d:80d::2004;5;Success
www.youtube.com;2a00:1450:400d:806::200e;4;Success
www.twitter.com;104.244.42.129;39;Success
